category,subcategory,total_revenue,total_quantity
Proteínas,Proteína de Suero (Whey Protein),6495748510.380041,30146
Rendimiento y Energía,Creatina,5544709659.290032,50181
Proteínas,Proteína Aislada/Hidrolizada (Isolate/Hydrolyzed),2535667486.9900026,7363
Salud y Bienestar,Otros Suplementos de Bienestar,2492558703.199999,99231
Proteínas,Proteínas Hipercalóricas (Mass Gainers),1656571998.090002,15502
Control de Peso,CLA,1211301052.4800003,13753
Aminoácidos,EAA / Mezclas,604489042.6200013,15425
Control de Peso,Quemadores de Grasa / Termogénicos,444917814.0799991,36445
Salud y Bienestar,Omega 3,329997556.97,5254
Accesorios,Shakers y Botellas,268202574.82999998,8046
Rendimiento y Energía,Pre-Entrenos (Pre-Workouts),264199511.11999977,4627
Proteínas,Barras y Snacks de Proteína,174037776.48000008,21777
Proteínas,Proteína Vegana (Vegan Protein),150087350.09,2555
Salud y Bienestar,Colágeno,84512148.0,1256
Aminoácidos,BCAA,73264256.15,825
Proteínas,Caseína (Casein),68557524.91,235
Rendimiento y Energía,Reguladores Hormonales,38074440.0,507
Salud y Bienestar,Vitaminas y Minerales,29601650.0,683
Aminoácidos,L-Carnitina,18491347.52,320
Aminoácidos,Glutamina,12196500.0,158
Accesorios,Ropa y Otros,81500.0,8
